formula,actual,predicted,elements,residual,component_1,component_2
Ge0.6Si0.4,1.8,3.094661594,Ge Si,-1.294661594,30,82
Ce2Te3,3.27,3.242856261,Ce Te,0.027143739,23,64
Cu3YbS3,1.85,1.623428548,Cu Yb S,0.226571452,12,22
Gd2O3,2.2,2.106276361,Gd O,0.093723639,22,55
Sr2V3Se5O18,3.22,2.885469835,Sr V Se O,0.334530165,37,50
Pb0.9Se0.9Ge0.1S0.1,0.7,1.832290119,Pb Se Ge S,-1.132290119,4,80
In6S7,2.34,2.280469198,In S,0.059530802,66,67
Pb0.94Sn0.06Te,3.7042,3.081330637,Pb Sn Te,0.622869363,11,17
MnI2,0.32,0.480492912,Mn I,-0.160492912,30,93
Pb17O8Cl18,3.44,2.949332891,Pb O Cl,0.490667109,57,93
HfS2,4.2,3.97717013,Hf S,0.22282987,87,91
As2S5,2.2,2.301400496,As S,-0.101400496,98,36
BiZn2VO6,2.4,2.025900907,Bi Zn V O,0.374099093,25,27
AgFeTe2,1.5,1.638005967,Ag Fe Te,-0.138005967,22,59
EuEr2Se4,2.62,2.79005301,Eu Er Se,-0.17005301,83,97
Rb2HgP2Se6,0.951714286,1.029540861,Rb Hg P Se,-0.077826576,72,98
CeN,3.987,3.56928719,Ce N,0.41771281,86,55
Bi2V2Se4O16,0.16,0.622467827,Bi V Se O,-0.462467827,100,85
EuN,0.4,0.618548692,Eu N,-0.218548692,78,78
K2Au2Sn2Se6,0.9,1.612448976,K Au Sn Se,-0.712448976,79,20
In0.4Ga0.6P,2.45,2.04552106,In Ga P,0.40447894,71,73
Na2ZnGe2S6,0.075,0.174033136,Na Zn Ge S,-0.099033136,55,59
Ba3InS4Cl,1.31,0.930547703,Ba In S Cl,0.379452297,77,42
Na2CsSb,4,4.174238752,Na Cs Sb,-0.174238752,77,43
Hg0.1Zn0.9Te,0.95,0.425077062,Hg Zn Te,0.524922938,52,86
Ga0.15As0.15Zn0.85Se0.85,2.9,2.379920188,Ga As Zn Se,0.520079812,80,31
RbCdB3O6,2.55,1.746032733,Rb Cd B O,0.803967267,26,75
Cu0.3In1.7Se2.7,2.083596154,2.012808548,Cu In Se,0.070787606,80,36
TlCl,1.6,2.852119155,Tl Cl,-1.252119155,12,0
Zn3B2O6,2.44,2.211903908,Zn B O,0.228096092,56,27
EuSb4Te7,0.46,0.47429994,Eu Sb Te,-0.01429994,36,35
AgBiP2Se6,1.5,1.480261841,Ag Bi P Se,0.019738159,94,14
Rb3Al3Ge7S20,1.37,1.299657901,Rb Al Ge S,0.070342099,29,77
Cd0.9Te0.9Al0.1Sb0.1,3.47,4.43570026,Cd Te Al Sb,-0.96570026,53,4
Dy4GaSbS9,1.65,1.433879518,Dy Ga Sb S,0.216120482,99,50
BiIO3F2,0.47,1.017667472,Bi I O F,-0.547667472,70,27
Bi0.2Te3Sb1.8,1.65,1.810749001,Bi Te Sb,-0.160749001,13,47
In0.9P0.9Ga0.1As0.1,4.45,3.831109953,In P Ga As,0.618890047,37,62
K3Nb2AsSe11,3.27,2.454822936,K Nb As Se,0.815177064,51,38
Bi2Te0.4Se2.6,1.1,0.993991549,Bi Te Se,0.106008451,82,95
LaCuOS,3.08,3.146516447,La Cu O S,-0.066516447,78,85
Fe2Te3,4.3,3.836988974,Fe Te,0.463011026,31,88
InSb0.9As0.1,2.3,2.474195416,In Sb As,-0.174195416,61,13
Bi9O7.5S6,2.442857143,2.027989825,Bi O S,0.414867318,45,91
KNb3Se2O12,1.9,2.106608071,K Nb Se O,-0.206608071,51,38
BaZnOS,2.36,2.463327007,Ba Zn O S,-0.103327007,64,46
GaAs0.75Sb0.25,1.72,1.12245884,Ga As Sb,0.59754116,79,96
K2CuNbSe4,6.28,5.374876922,K Cu Nb Se,0.905123078,87,77
Pb6Sb6Se17,1.06,0.98247193,Pb Sb Se,0.07752807,71,76
Cu2CdGeS4,0.3,0.366399372,Cu Cd Ge S,-0.066399372,37,4
Zn3P2S8,0.625,1.387709073,Zn P S,-0.762709073,21,92
CsCdBO3,1.12,1.429697123,Cs Cd B O,-0.309697123,8,42
CsLiB6O10,2.25,2.682998313,Cs Li B O,-0.432998313,50,72
Li2In2SiSe6,1.01,0.95367585,Li In Si Se,0.05632415,57,30
Pb0.99Sn0.01Se,0.65,0.812525323,Pb Sn Se,-0.162525323,9,51
Pb0.7Ge0.3Te,2.43,2.631755831,Pb Ge Te,-0.201755831,70,7
PbS,1.3,1.937503277,Pb S,-0.637503277,66,72
HfO2,0.698,0.586250678,Hf O,0.111749322,18,66
Ba2B6O11,0.255,0.151788365,Ba B O,0.103211635,97,47
LiPbB9O15,1.27,1.51390735,Li Pb B O,-0.24390735,4,1
RbGeB3O7,5.13,2.349455415,Rb Ge B O,2.780544585,45,9
Rh2S3,2.21,2.301392619,Rh S,-0.091392619,44,79
Li3ScN2,0.26,0.140374418,Li Sc N,0.119625582,100,88
Na2GeIn2Se6,0.7,0.956613616,Na Ge In Se,-0.256613616,46,70
Eu7Ga6Sb8,3.09,3.080456645,Eu Ga Sb,0.009543355,8,3
SnI4,0.6,1.288241978,Sn I,-0.688241978,67,52
Cu0.01In1.99Se2.99,2.56,2.722108239,Cu In Se,-0.162108239,11,36
AgAlSe2,0.28,0.330480525,Ag Al Se,-0.050480525,78,14
MoSe2,1.1,1.734752071,Mo Se,-0.634752071,39,32
La2O2ZnSe2,0.55,0.574271627,La O Zn Se,-0.024271627,81,97
SrGe2,2.83,2.869962069,Sr Ge,-0.039962069,74,37
Cu3YTe3,1.613333333,1.396151464,Cu Y Te,0.217181869,90,82
BaHgS2,5.2,5.069514821,Ba Hg S,0.130485179,46,18
In6Se7,4.5,2.421017987,In Se,2.078982013,96,71
RbInGeS4,2.7,1.418761237,Rb In Ge S,1.281238763,39,93
LiInSe2,0.765,1.037911201,Li In Se,-0.272911201,22,80
PrB6,1.103333333,0.948733465,Pr B,0.154599868,69,3
In0.3As0.3Ga0.7P0.7,2.075,1.737501511,In As Ga P,0.337498489,38,75
Ba2SmTaO6,0.34,0.25109422,Ba Sm Ta O,0.08890578,73,11
As2S3,2.75,1.762040221,As S,0.987959779,12,48
Gd6Ge2.5S14,3.6,2.175740302,Gd Ge S,1.424259698,74,61
Ba3Sb2S7,4.1,3.836477822,Ba Sb S,0.263522178,78,80
KH2PO4,0.48,0.972763505,K H P O,-0.492763505,8,34
RbF,1.026666667,1.175032779,Rb F,-0.148366112,88,81
Sm2Sn3Se9,0.8,2.461954633,Sm Sn Se,-1.661954633,80,33
SnCl2,1.82,2.351678722,Sn Cl,-0.531678722,33,48
Ba2GaGdTe5,2.6,2.520743649,Ba Ga Gd Te,0.079256351,68,37
Bi2Te0.6Se2.4,1.79,2.791280726,Bi Te Se,-1.001280726,59,56
CsB3GeO7,0.27,0.576093604,Cs B Ge O,-0.306093604,48,53
TaN,1.33,1.77034696,Ta N,-0.44034696,82,79
Ge0.7Si0.3,1.87,1.878625043,Ge Si,-0.008625043,3,12
Na2Ti3O7,3,3.002027604,Na Ti O,-0.002027604,22,53
Cd3As2,1.95,3.031809623,Cd As,-1.081809623,65,5
ZnIn2S4,0.34,0.398324821,Zn In S,-0.058324821,70,76
Bi2O2CO3,1.64,1.494150134,Bi O C,0.145849866,73,11
K3SmAs2S8,1.74,1.425392376,K Sm As S,0.314607624,59,66
Ge0.4Si0.6,0.220631579,0.292747489,Ge Si,-0.07211591,82,46
Sb2S3,2.16,2.496617486,Sb S,-0.336617486,19,38
Bi25TiO39,0.9,0.762612355,Bi Ti O,0.137387645,24,89
LiAsS2,1.64,1.703130958,Li As S,-0.063130958,98,44
CdTlS2,1.593333333,1.364096634,Cd Tl S,0.229236699,76,18
Ge0.9Si0.1,6,4.612906279,Ge Si,1.387093721,87,32
YbAs,1,2.374786473,Yb As,-1.374786473,1,56
In4Te3,2.45,1.298710405,In Te,1.151289595,35,42
Cu2O,1.95,1.665952498,Cu O,0.284047502,10,64
HgGa2S4,2.32,2.539979748,Hg Ga S,-0.219979748,91,18
TlInTe2,1.62,1.736214754,Tl In Te,-0.116214754,79,25
CsYHgSe3,1.78,1.488982279,Cs Y Hg Se,0.291017721,15,13
MnF2,0.616666667,0.494941597,Mn F,0.12172507,17,52
KBiSiS4,2.38,2.85399397,K Bi Si S,-0.47399397,84,64
Mg2GeSe4,2.95,2.153507482,Mg Ge Se,0.796492518,73,75
Pb0.75Ge0.25Te,4.1,2.808132886,Pb Ge Te,1.291867114,20,35
BaPdSe6,1.25,1.285024462,Ba Pd Se,-0.035024462,76,40
In0.4Al0.6P,1.71,1.988133574,In Al P,-0.278133574,31,50
Li2MnGeS4,0.7,1.08339637,Li Mn Ge S,-0.38339637,53,26
Zn0.01S0.01Ga0.99P0.99,1.48,1.633830932,Zn S Ga P,-0.153830932,19,30
Ge0.93Si0.07,1.1,0.706253035,Ge Si,0.393746965,28,4
Rb3Bi2Br9,4.1,3.732694837,Rb Bi Br,0.367305163,26,57
Ag0.2Cd0.75In2.1Te4,0.4,0.868996739,Ag Cd In Te,-0.468996739,97,34
KZrPSe6,3.16,2.796471884,K Zr P Se,0.363528116,64,2
Na4MgSi2Se6,2.21,2.523494971,Na Mg Si Se,-0.313494971,80,31
OsAsS,4.05,4.011753626,Os As S,0.038246374,3,96
Bi2Te2SO10,2.3,2.315047774,Bi Te S O,-0.015047774,20,52
Li2HgGeS4,0.6,0.93326429,Li Hg Ge S,-0.33326429,42,24
La6Sb4S3O12,1.6,0.751767333,La Sb S O,0.848232667,67,72
MnSi,1.04,0.936090725,Mn Si,0.103909275,76,83
GeSe2O6,1.4,1.395798922,Ge Se O,0.004201078,67,84
CdS0.65Se0.35,3.573333333,2.864463519,Cd S Se,0.708869815,99,73
LiBi3O4Cl2,7.6,5.726292493,Li Bi O Cl,1.873707507,83,98
KAg2SbS3,0.4,0.612225528,K Ag Sb S,-0.212225528,24,47
Cu3TbSe3,2.04,2.205865626,Cu Tb Se,-0.165865626,22,32
Sb2O3,4.62,4.307345098,Sb O,0.312654902,35,13
K2Au2SnS4,1.85,2.019360823,K Au Sn S,-0.169360823,11,83
La5Cu6.33O4S7,3.4,3.047697181,La Cu O S,0.352302819,78,52
SiSn,2.007,1.293432116,Si Sn,0.713567884,77,6
CuInSe2,0.23,0.303438335,Cu In Se,-0.073438335,70,98
CuN3,2.1,1.901562994,Cu N,0.198437006,18,88
Li2PtO3,1.2,1.473800379,Li Pt O,-0.273800379,13,90
Ge0.774Si0.226,1.6,1.666979432,Ge Si,-0.066979432,34,24
BaGa2GeSe6,1.05,0.857336947,Ba Ga Ge Se,0.192663053,71,41
ZrSe3,1.8,1.150763571,Zr Se,0.649236429,48,31
Rb2PtI6O18,2.15,1.94033656,Rb Pt I O,0.20966344,38,64
Na2GdP2O8,1.92,2.497945502,Na Gd P O,-0.577945502,42,29
Cu2ZnGeSe4,3.15,2.773911698,Cu Zn Ge Se,0.376088302,38,4
CsSb,1.47,1.187411545,Cs Sb,0.282588455,74,16
KSb5S8,1.37,1.6335804,K Sb S,-0.2635804,70,79
Ga1.1Sb0.9Te0.3,0.37,0.503725513,Ga Sb Te,-0.133725513,57,39
Ba5Ga2Se8,2.12,1.622764124,Ba Ga Se,0.497235876,25,37
HgIn2Te4,2.32,2.217572448,Hg In Te,0.102427552,53,78
KBiS2,1.93,1.874541712,K Bi S,0.055458288,95,53
ThOTe,1.47,1.495096065,Th O Te,-0.025096065,24,34
AgN3,1.66,1.653618396,Ag N,0.006381604,30,97
Pb0.999TeTl0.001,2.65,2.311477927,Pb Te Tl,0.338522073,46,66
PbCl2,0.67,0.586856598,Pb Cl,0.083143402,79,79
CuInCd2Te3,0.7,0.647746676,Cu In Cd Te,0.052253324,75,75
AgBiS2,2.005,2.417483299,Ag Bi S,-0.412483299,72,1
TlS,1.06,1.367994272,Tl S,-0.307994272,45,43
SmCuOSe,2.63,2.413071351,Sm Cu O Se,0.216928649,8,15
PdSe,2.5,2.557845059,Pd Se,-0.057845059,73,17
RbBiS2,1.67,2.641002198,Rb Bi S,-0.971002198,2,96
LaInS2O,1.02,0.909655437,La In S O,0.110344563,60,1
Ba2GaSmTe5,2.17,2.010200112,Ba Ga Sm Te,0.159799888,67,63
Na2In2GeS6,6.67,6.371065831,Na In Ge S,0.298934169,39,38
Sr3EuP3O12,1.2,1.396800612,Sr Eu P O,-0.196800612,30,9
SiAs2,5.54,5.856271043,Si As,-0.316271043,22,63
SrSeO4,2.2,2.310690904,Sr Se O,-0.110690904,81,26
AlB12,4.3,4.217811182,Al B,0.082188818,5,100
Ga0.99Sb0.99Hg0.01Te0.01,0.62,0.60726982,Ga Sb Hg Te,0.01273018,34,69
InPS4,3.4,1.336036896,In P S,2.063963104,42,29
Cd4Sb3,3.1,3.596896925,Cd Sb,-0.496896925,73,15
Ba2InYTe5,0.22,0.257117884,Ba In Y Te,-0.037117884,62,13
Sm3Te4,1.485,2.31432446,Sm Te,-0.82932446,28,68
MgO,2,2.165310058,Mg O,-0.165310058,59,62
CuFeTe2,3.53,3.726267171,Cu Fe Te,-0.196267171,55,43
Ag8GeS6,0.167,0.065394241,Ag Ge S,0.101605759,100,56
Na2Te,2.61,2.945830784,Na Te,-0.335830784,49,31
LiAlB14,2.83,2.52790567,Li Al B,0.30209433,95,3
Zn0.85Hg0.15Se,0.28,1.379504965,Zn Hg Se,-1.099504965,77,63
GeSe,2.205,2.752190171,Ge Se,-0.547190171,2,36
ErSe2,0.6,0.493098082,Er Se,0.106901918,15,67
Sr3GeSb2Se8,1.36,1.19813309,Sr Ge Sb Se,0.16186691,25,80
Gd3.04Sc0.96S6,1.88,1.992964649,Gd Sc S,-0.112964649,4,56
In0.5As0.5Ga0.5P0.5,2.06,2.643652885,In As Ga P,-0.583652885,67,49
Pb0.7Ge0.3Se,5.5,5.73075417,Pb Ge Se,-0.23075417,41,95
K6Nb1.07Ta2.93S22,1.4,1.404731564,K Nb Ta S,-0.004731564,41,99
IrS2,1.3,1.419227503,Ir S,-0.119227503,23,63
GeAs2,1.18,1.070525455,Ge As,0.109474545,96,90
Zn0.15Cd0.85Se,4.9,4.974358781,Zn Cd Se,-0.074358781,62,57
Ca3BiP3O12,2.77,2.592493982,Ca Bi P O,0.177506018,16,41
Ba7AgGa5S15,0.72,0.782355795,Ba Ag Ga S,-0.062355795,60,66
K10Co4Sn4S17,0.65,0.682592923,K Co Sn S,-0.032592923,30,79
Zn0.01Cd0.99Se,1.07,1.288310248,Zn Cd Se,-0.218310248,66,60
Pb0.93Sn0.07Se,1.57,1.428529886,Pb Sn Se,0.141470114,76,86
PbCuSbS3,0.74,1.269283705,Pb Cu Sb S,-0.529283705,41,60
SrSe,1.47,3.057810815,Sr Se,-1.587810815,14,94
SmP,0.5,0.276635748,Sm P,0.223364252,55,20
Pb2N2SeO9,0.47,0.21913043,Pb N Se O,0.25086957,86,91
Eu3S4,2.15,1.911026031,Eu S,0.238973969,3,67
Sr3BiP3O12,3.08,2.780041156,Sr Bi P O,0.299958844,64,28
TiCoSb,1.25,1.301309844,Ti Co Sb,-0.051309844,92,69
Sr2SmTaO6,1.1,1.064528843,Sr Sm Ta O,0.035471157,99,40
NaBiS2,2.35,2.068352583,Na Bi S,0.281647417,3,24
Ba2NdGaS5,4.9,4.478169758,Ba Nd Ga S,0.421830242,21,46
Pr2Sr2PtO7.07,1.43,1.740720688,Pr Sr Pt O,-0.310720688,7,57
CuGa1.6In0.4S3.5,4.5,3.897191884,Cu Ga In S,0.602808116,8,65
ZrO2,0.95,1.4848541,Zr O,-0.5348541,70,39
Hg0.7Cd0.3Se,3.68,3.06532085,Hg Cd Se,0.61467915,33,20
Cu0.35Ga1.65S2.65,0.14,0.046585809,Cu Ga S,0.093414191,78,34
Bi2SeI2O11,3.2,3.158180276,Bi Se I O,0.041819724,42,25
Ba2InSbSe5,2.8,2.816545663,Ba In Sb Se,-0.016545663,91,99
CaTaO2N,2.2,2.934099812,Ca Ta O N,-0.734099812,13,99
YbGa2Se4,1.21,1.152446802,Yb Ga Se,0.057553198,32,43
Rb4Mo5P2O22,0.27,0.28250447,Rb Mo P O,-0.01250447,32,73
In0.99As0.99Cd0.01Te0.01,1.27,2.502827961,In As Cd Te,-1.232827961,80,95
CsInSnS4,6.89,6.687978317,Cs In Sn S,0.202021683,58,58
Mn2P2Se6,2.54,2.305542582,Mn P Se,0.234457418,35,13
Tl4CdI6,0.362071429,0.760403536,Tl Cd I,-0.398332107,72,3
MnTe9,5.55,5.173732502,Mn Te,0.376267498,62,55
Y2O3,1.93,2.152729989,Y O,-0.222729989,100,86
Cu2WSe4,3.02,3.767699559,Cu W Se,-0.747699559,29,19
Cd3P2,2.6,3.538834531,Cd P,-0.938834531,78,81
RhSe2,3.35,3.402217419,Rh Se,-0.052217419,3,31
CaSm2S4,2.1,1.811332958,Ca Sm S,0.288667042,42,80
CeMn0.5OSe,4.17,2.800749763,Ce Mn O Se,1.369250237,17,20
TiS2,1.503,0.879048305,Ti S,0.623951695,89,65
ErN,2.6,2.447416646,Er N,0.152583354,71,57
BaZnSiSe4,4.75,5.291589919,Ba Zn Si Se,-0.541589919,5,65
Pb0.94Sn0.06Se,1.18,1.133422379,Pb Sn Se,0.046577621,24,54
K6Yb3P5S20,1.88,2.029519215,K Yb P S,-0.149519215,32,13
RbSbS2,1.09,1.39505504,Rb Sb S,-0.30505504,8,89
SeS,1.1,0.913155349,Se S,0.186844651,32,86
Pb3B3O10N,0.76,0.634473777,Pb B O N,0.125526223,21,65
SnGa4Se7,2.8,2.192825582,Sn Ga Se,0.607174418,68,11
GaSe,2.65,2.129801068,Ga Se,0.520198932,8,62
NaIn3Se5,2.8,2.516491725,Na In Se,0.283508275,21,16
HgSnO3,3.5,3.388550632,Hg Sn O,0.111449368,71,71
Pb0.9Sn0.1Te,2.52,3.143749399,Pb Sn Te,-0.623749399,79,22
LiMgBi,1.92,2.065555276,Li Mg Bi,-0.145555276,6,80
MnSb2O4,1.38,1.35875072,Mn Sb O,0.02124928,21,80
NaNO2,3.1,2.84211158,Na N O,0.25788842,89,3
Ge0.001Si0.999,1.416666667,1.68999493,Ge Si,-0.273328264,34,24
NiP2,3.88,3.676730642,Ni P,0.203269358,65,82
Ba2GaDySe5,8.278,8.107005477,Ba Ga Dy Se,0.170994523,55,67
Zn0.4Hg0.6Se,2.2,2.45353631,Zn Hg Se,-0.25353631,27,91
Ba2InSmTe5,1.8,1.655211761,Ba In Sm Te,0.144788239,86,22
Rb3NaMo2O8,1.99,2.505141196,Rb Na Mo O,-0.515141196,96,56
TlHg6Se4Br5,4.185,4.271032332,Tl Hg Se Br,-0.086032332,25,29
SmIn3S6,0.59,0.520911941,Sm In S,0.069088059,89,63
ZnSb,0.375,0.599614011,Zn Sb,-0.224614011,0,7
KCeSe4,0.2,0.291599717,K Ce Se,-0.091599717,91,56
CuYO2,2,1.956996768,Cu Y O,0.043003232,96,55
Cu0.8Ga1.2Se2.2,2.13,1.945893114,Cu Ga Se,0.184106886,69,43
PbBr2,1.4,1.743123178,Pb Br,-0.343123178,63,73
CuNbO3,1.375,1.160664056,Cu Nb O,0.214335944,86,63
Li2Ga2GeS6,2.52,2.295017414,Li Ga Ge S,0.224982586,74,61
Ba3B1.5S6Sb0.5,2.55,3.044821996,Ba B S Sb,-0.494821996,62,7
Ba2Sb7O14H,1.37,1.286456867,Ba Sb O H,0.083543133,23,54
Cs2P2Se8,2,1.610331453,Cs P Se,0.389668547,87,60
Ba2B4O9H2,0.2,0.141296905,Ba B O H,0.058703095,55,46
VFeSb,1.04,1.332556912,V Fe Sb,-0.292556912,71,82
K2CuVS4,1.08,0.960836572,K Cu V S,0.119163428,61,51
SnS0.99Se0.01,0.3,0.506042136,Sn S Se,-0.206042136,61,15
La2Sr2PtO7.13,0.9,2.311221311,La Sr Pt O,-1.411221311,34,7
K2MnSn2Se6,3.76,3.260656372,K Mn Sn Se,0.499343628,57,88
Cu0.4Ga1.6S2.6,2.07225,1.318847816,Cu Ga S,0.753402184,87,100
Ba2InErTe5,2,2.192203263,Ba In Er Te,-0.192203263,41,11
GdH2NO5,1.5,1.519302217,Gd H N O,-0.019302217,57,87
Tl4GaIn3S8,1.85,0.957753238,Tl Ga In S,0.892246762,98,40
In2Bi3Se7I,2.54,2.488650984,In Bi Se I,0.051349016,30,40
Cu3GdSe3,4.23,3.805824464,Cu Gd Se,0.424175536,87,41
Na2In4SSe6,1.05,1.232021829,Na In S Se,-0.182021829,20,7
Be3N2,2.35,2.036496912,Be N,0.313503088,5,19
Rb3Nb2AsSe11,3.8,3.579089299,Rb Nb As Se,0.220910701,48,97
K2HgP2Se6,3.5,3.343611171,K Hg P Se,0.156388829,55,68
LiAsSe2,1.1,1.160083536,Li As Se,-0.060083536,97,91
SbSBr,1.39,0.677477865,Sb S Br,0.712522135,43,66
Ag7AsSe6,0.63,0.597724538,Ag As Se,0.032275462,60,54
Hg3PS4,4.53,4.295987002,Hg P S,0.234012998,17,17
CuGaGeSe4,4.83,5.351420518,Cu Ga Ge Se,-0.521420518,87,66
Li2CdGeS4,1.126666667,0.493750761,Li Cd Ge S,0.632915905,85,68
Pb6BBrO7,2.06,2.193435582,Pb B Br O,-0.133435582,17,14
CuGa3Te5,1.57,1.778280059,Cu Ga Te,-0.208280059,88,94
K2Sn3Sb2S10,1.28,1.288123919,K Sn Sb S,-0.008123919,33,48
LaZnAsO,1.75,1.349216047,La Zn As O,0.400783953,9,16
KAlGeS4,2.35,2.397826837,K Al Ge S,-0.047826837,17,16
DyTe1.45,3.9,3.81303722,Dy Te,0.08696278,30,36
Ba2InNdTe5,1.265,1.02775147,Ba In Nd Te,0.23724853,18,44
CsBiS2,2.445,2.40061504,Cs Bi S,0.04438496,99,36
La2CoTiO6,0.991666667,0.807379856,La Co Ti O,0.184286811,86,1
K3CdB5O10,1.6,1.489383872,K Cd B O,0.110616128,44,65
LiGaGe2Se6,2.47,1.805065132,Li Ga Ge Se,0.664934868,45,5
Rb2TeI6,2.8,3.544442988,Rb Te I,-0.744442988,50,85
CuGa2Se4,3.58,3.155756504,Cu Ga Se,0.424243496,64,36
RbTa3Te2O12,1.58,1.479896351,Rb Ta Te O,0.100103649,46,66
Ce2GeSe5,2.85,2.617456966,Ce Ge Se,0.232543034,53,49
Cs2PtI6O18,0.75,0.676202636,Cs Pt I O,0.073797364,17,50
Zn0.7S0.7Ga0.3P0.3,3.26,3.127002691,Zn S Ga P,0.132997309,13,32
TlCr5S6Se2,2.8,2.456760004,Tl Cr S Se,0.343239996,21,99
Zn0.65Hg0.35Se,1.615,1.541964173,Zn Hg Se,0.073035827,46,59
Rb2Cd3S4,0.22,0.427298994,Rb Cd S,-0.207298994,86,71
TcS2,1.26,1.85497153,Tc S,-0.59497153,96,79
RbCl,1.465,1.277988629,Rb Cl,0.187011371,36,0
CsCaBO3,1.955,1.994463451,Cs Ca B O,-0.039463451,71,73
Zr6O,3.81,3.458641968,Zr O,0.351358032,77,100
BaGa2GeS6,1.22,1.395933871,Ba Ga Ge S,-0.175933871,35,65
GdB6,1.5,1.477317162,Gd B,0.022682838,42,39
Ba3Ta2Se9,1.99,2.077018248,Ba Ta Se,-0.087018248,5,99
TaGaSe2,3.5,3.374272944,Ta Ga Se,0.125727056,45,73
InSb0.1As0.9,2,1.752894816,In Sb As,0.247105184,42,92
TlGaSe2,3.25,2.350679294,Tl Ga Se,0.899320706,93,92
TlBiTe2,3.7,3.848616579,Tl Bi Te,-0.148616579,86,8
Ag2GeTe3,6.53,6.33808937,Ag Ge Te,0.19191063,40,29
MnTe,3.3,3.158420415,Mn Te,0.141579585,13,40
Cs5P5Se12,1.52,1.694526009,Cs P Se,-0.174526009,8,40
Ba3FeS4Br,2.8,2.655434192,Ba Fe S Br,0.144565808,51,5
Pb0.6Ge0.4Te,2.16,2.097360873,Pb Ge Te,0.062639127,48,37
Ga0.4As0.4Zn0.6Se0.6,2.534777778,2.177661719,Ga As Zn Se,0.357116059,49,53
MnVTe2O8,2.52,3.165788242,Mn V Te O,-0.645788242,96,84
Cs2TeBr6,5.42,5.514314204,Cs Te Br,-0.094314204,1,58
CsInSn2Se6,2.87,3.226787872,Cs In Sn Se,-0.356787872,28,85
Sr2Be2B2O7,5,4.158358753,Sr Be B O,0.841641247,54,67
Sc2S3,1.8,2.4629579,Sc S,-0.6629579,21,43
TaON,2.5,3.043734594,Ta O N,-0.543734594,15,53
EuIn2Te4,0.41,1.380181193,Eu In Te,-0.970181193,90,7
InAsI,1,0.982595048,In As I,0.017404952,15,42
K2La2Sb2S9,2.35,2.935353451,K La Sb S,-0.585353451,60,6
AgIn5Te8,0.684,0.637077393,Ag In Te,0.046922607,59,48
Cs2TeI6,3.54,3.087501738,Cs Te I,0.452498262,38,61
HgSe,0.28,0.256794027,Hg Se,0.023205973,59,73
GaAs0.7P0.3,2.07,2.136818411,Ga As P,-0.066818411,49,46
NaSbTe2,1.8,0.251215086,Na Sb Te,1.548784914,49,63
KTbSe4,0.3,2.058658501,K Tb Se,-1.758658501,41,21
SrTaO2N,2.625,2.237569607,Sr Ta O N,0.387430393,4,61
BaS,0.7,1.074538134,Ba S,-0.374538134,69,23
Tl2InGaSe4,1.9,1.998569332,Tl In Ga Se,-0.098569332,4,6
EuLu2Se4,2.3,1.209719,Eu Lu Se,1.090281,16,12
CuNiC4N4,5.42,5.763277523,Cu Ni C N,-0.343277523,52,28
CsH3Se2O6,2,2.314034969,Cs H Se O,-0.314034969,66,70
Cu2CdGeSe4,0.63,1.124899158,Cu Cd Ge Se,-0.494899158,27,27
HgCl2,2.99,3.021809971,Hg Cl,-0.031809971,14,22
KAg11V4O16,2.47,2.896604003,K Ag V O,-0.426604003,98,34
Na2BaSnS4,1.31,1.310810566,Na Ba Sn S,-0.000810566,62,67
In4Se3,0.34,0.222687318,In Se,0.117312682,97,55
TlCuCl3,1.6,0.681510546,Tl Cu Cl,0.918489454,27,7
Pb0.83Sn0.17Te,2.1,2.538585663,Pb Sn Te,-0.438585663,84,86
Rb2TiCu2S4,2.49,2.553293789,Rb Ti Cu S,-0.063293789,99,38
SnS2,1,1.083767948,Sn S,-0.083767948,49,83
InSnAsSe,0.28,1.977389802,In Sn As Se,-1.697389802,3,86
Li6Rb5B11O22,0.285,0.271330412,Li Rb B O,0.013669588,6,95
Ga0.99P0.99Zn0.01Se0.01,0.5,1.386298752,Ga P Zn Se,-0.886298752,41,64
CsZn4In5Se12,0.23,0.521753306,Cs Zn In Se,-0.291753306,79,74
K2AuI5O15,0.2775,0.203195717,K Au I O,0.074304283,27,19
Sn2WO5,0.14,0.249691817,Sn W O,-0.109691817,15,55
Li2ZnGe,2.6,2.372800317,Li Zn Ge,0.227199683,63,87
Cu3AsS4,3.7,3.3089567,Cu As S,0.3910433,22,20
Sm3Al0.33SiS7,0.35,0.419158215,Sm Al Si S,-0.069158215,79,59
Bi12GeO20,4.2,2.70819079,Bi Ge O,1.49180921,15,75
CuGa2S3.5,1.98,1.796041801,Cu Ga S,0.183958199,95,73
CdBiO2Cl,0.25,0.067271101,Cd Bi O Cl,0.182728899,44,40
LiIO3,3,2.313809098,Li I O,0.686190902,83,98
SmSb,1.57,1.552190922,Sm Sb,0.017809078,42,67
Bi2Se3,1.93,1.941912018,Bi Se,-0.011912018,19,64
Mn15Si26,2.37,2.446452616,Mn Si,-0.076452616,10,97
Zn0.99Cd0.01Se,2.4,2.160328637,Zn Cd Se,0.239671363,49,48
CuBiP2Se6,0.48,1.02030272,Cu Bi P Se,-0.54030272,29,85
Ga0.8In0.2As,0.117444444,0.04586988,Ga In As,0.071574565,44,80
CuSbSe2,3.1,1.404574826,Cu Sb Se,1.695425174,19,88
PbSeO4,3.16,2.893261799,Pb Se O,0.266738201,90,83
